183726	Automotive > Parts & Accessories > Motorcycle Parts > Handlebars, Grips & Levers > Riser Clamps & Brackets	232914875801	 ;Manufacturer Part Number;Surface Finish;Warranty;Color;UPC;Brand;Image Note	https://www.ebay.ca/itm/Gorilla-Grabber-Handlebar-Riser-Top-Clamp-1997-Newer-Harley-Davidson-Touring-/232914875801	6000>6028>10063>178998>183726	Automotive>Parts & Accessories>Motorcycle Parts>Handlebars, Grips & Levers>Riser Clamps & Brackets
178009	Automotive > Parts & Accessories > Motorcycle Parts > Handlebars, Grips & Levers > Other Handlebars & Levers	151586899332	 ;Handle Bars, Levers & Mirror Part Type;Color;Manufacturer Part Number;Placement on Vehicle;Brand;Warranty	https://www.ebay.ca/itm/LED-Integrated-Turn-Signal-Mirrors-Suzuki-GSXR-600-750-1000-Honda-CBR-1000RR-/151586899332?var=	6000>6028>10063>178998>178009	Automotive>Parts & Accessories>Motorcycle Parts>Handlebars, Grips & Levers>Other Handlebars & Levers
178010	Automotive > Parts & Accessories > Motorcycle Parts > Instruments & Gauges > Clocks	131023387165	 ;BMW KTM Triumph Ducati Universal Chopper Cruiser;Lenker Uhr Handlebar clock Orologio da manubrio;Hersteller;Herstellernummer;Farbe;Kraftradtyp;Herstellungsland und -region;EAN;Marke	https://www.ebay.ca/itm/Lenkeruhr-Metall-Chrom-Big-Motorrad-Uhr-groses-Zifferblatt-fur-Harley-Honda-BMW-/131023387165	6000>6028>10063>180033>178010	Automotive>Parts & Accessories>Motorcycle Parts>Instruments & Gauges>Clocks
178013	Automotive > Parts & Accessories > Motorcycle Parts > Instruments & Gauges > Fuel Gauges	222736304812	 ;Country/Region of Manufacture;Material;Type;Voltage;Features;Connects to;Display brightness;Surface Finish;Manufacturer Part Number;Display color;Display;Brand;Warranty	https://www.ebay.ca/itm/FuelGaugePro-universal-Float-free-motorcycle-fuel-gauge-meter-pressure-sensor-/222736304812	6000>6028>10063>180033>178013	Automotive>Parts & Accessories>Motorcycle Parts>Instruments & Gauges>Fuel Gauges
178011	Automotive > Parts & Accessories > Motorcycle Parts > Instruments & Gauges > Instrument Cables	191980863575	 ;Length;Manufacturer Part Number;Brand	https://www.ebay.ca/itm/Honda-Speedometer-Speedo-Cable-CB400F-CB500-CB550-CX500-CB750-CB900F-/191980863575	6000>6028>10063>180033>178011	Automotive>Parts & Accessories>Motorcycle Parts>Instruments & Gauges>Instrument Cables
178012	Automotive > Parts & Accessories > Motorcycle Parts > Instruments & Gauges > Instrument Clusters	160530767487	 ;Besonderheiten;Kraftradtyp;Herstellernummer;Kraftradmarke;Baugruppe;Zustand;Motorradmarke;Hersteller;Herstellungsland und -region	https://www.ebay.ca/itm/HARLEY-DAVIDSON-KMH-Tachoring-km-h-Tacho-Aufkleber-fur-alle-Bj-/160530767487	6000>6028>10063>180033>178012	Automotive>Parts & Accessories>Motorcycle Parts>Instruments & Gauges>Instrument Clusters
178014	Automotive > Parts & Accessories > Motorcycle Parts > Instruments & Gauges > Odometers	131016730168	 ;Motorradmarke;Hersteller;Herstellernummer;Kraftradtyp;Produktart;Farbe;EAN;Marke	https://www.ebay.ca/itm/Tacho-fur-Harley-Davidson-Dashboard-Shovel-Evo-Fat-Bob-Tank-2-1-Kilometerzahler-/131016730168	6000>6028>10063>180033>178014	Automotive>Parts & Accessories>Motorcycle Parts>Instruments & Gauges>Odometers
178015	Automotive > Parts & Accessories > Motorcycle Parts > Instruments & Gauges > Speedometers	263903798492	 ;Brand;Intended Use;Manufacturer Part Number;Machine Type;Colour;Classic Motorcycle Part;Country/Region of Manufacture	https://www.ebay.ca/itm/Universal-Motorcycle-Motorbike-Classic-Style-Chrome-Black-Cable-Speedo-MPH-/263903798492	6000>6028>10063>180033>178015	Automotive>Parts & Accessories>Motorcycle Parts>Instruments & Gauges>Speedometers
178016	Automotive > Parts & Accessories > Motorcycle Parts > Instruments & Gauges > Tachometers	332514518214	 ;Manufacturer Part Number;Brand	https://www.ebay.ca/itm/RacingPowerSports-Backlit-Digital-Tach-Tachometer-Hour-Meter-ATV-Boat-Bike-UTV-/332514518214	6000>6028>10063>180033>178016	Automotive>Parts & Accessories>Motorcycle Parts>Instruments & Gauges>Tachometers
178017	Automotive > Parts & Accessories > Motorcycle Parts > Instruments & Gauges > Temperature Gauges	112543807938	 ;Material;Surface Finish;Manufacturer Part Number;Brand;Warranty	https://www.ebay.ca/itm/BMW-Airhead-Oil-Temperature-Gauge-Dip-stick-r60-5-r60-6-r75-6-r75-6-R90-6-R90S-/112543807938	6000>6028>10063>180033>178017	Automotive>Parts & Accessories>Motorcycle Parts>Instruments & Gauges>Temperature Gauges
